,PRP$,IN,RB,NN,NNPS,UH,POS,WP,JJ,JJS,.,:,SYM,$,LS,RBR,MD,PDT,-RRB-,CC,TO,VBG,PRP,NNS,WRB,DT,RBS,VBN,JJR,WDT,NNP,",",VB,VBP,VBD,EX,#,-LRB-,RP,WP$,``,FW,'',VBZ,CD
START,0.0066120906801007545,0.12562972292191438,0.047544080604533995,0.04250629722921914,0.0031486146095717872,0.0006297229219143579,0.00031486146095717867,0.004093198992443325,0.03652392947103275,0.0018891687657430728,0.00031486146095717867,0.0034634760705289686,0.00031486146095717867,0.0018891687657430728,0.002204030226700253,0.001259445843828715,0.00031486146095717867,0.0006297229219143579,0.00031486146095717867,0.04974811083123425,0.0031486146095717872,0.012909319899244338,0.06454659949622167,0.04534005037783375,0.006926952141057932,0.2307934508816121,0.0009445843828715363,0.006297229219143575,0.00251889168765743,0.0006297229219143579,0.1933249370277078,0.00031486146095717867,0.004408060453400502,0.0006297229219143579,0.0009445843828715363,0.004408060453400502,0.00031486146095717867,0.002204030226700253,0.00031486146095717867,0.00031486146095717867,0.07619647355163729,0.00031486146095717867,0.0006297229219143579,0.00251889168765743,0.009760705289672548
PRP$,0.0015082956259426848,0.00301659125188537,0.00301659125188537,0.4193061840120664,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.19909502262443438,0.016591251885369536,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.010558069381598796,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.00301659125188537,0.0015082956259426848,0.20060331825037708,0.0015082956259426848,0.0015082956259426848,0.00301659125188537,0.007541478129713425,0.004524886877828056,0.0015082956259426848,0.04675716440422323,0.00301659125188537,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.0015082956259426848,0.00301659125188537,0.0015082956259426848,0.0015082956259426848,0.004524886877828056,0.0015082956259426848,0.0015082956259426848,0.00301659125188537,0.027149321266968323
IN,0.03380602684223853,0.01633324892377817,0.013294504937958973,0.10749556849835401,0.001899214991136996,0.00012661433274246633,0.00012661433274246633,0.002405672322106862,0.09635350721701695,0.004178272980501391,0.003038743985819194,0.0002532286654849327,0.00012661433274246633,0.02633578121043302,0.00012661433274246633,0.0008863003291972653,0.0002532286654849327,0.0011395289946821978,0.00012661433274246633,0.0012661433274246648,0.00253228665484933,0.030007596859964545,0.032286654849328945,0.05950873638895924,0.0016459863256520631,0.31970119017472776,0.00012661433274246633,0.0063307166371233195,0.006457330969865792,0.0032919726513041267,0.15130412762724743,0.0027855153203342627,0.0002532286654849327,0.0002532286654849327,0.0011395289946821978,0.0011395289946821978,0.0005064573309698659,0.00012661433274246633,0.0002532286654849327,0.0002532286654849327,0.006837173968093189,0.0002532286654849327,0.0003798429982273995,0.0003798429982273995,0.06267409470752089
RB,0.0017605633802816895,0.11707746478873239,0.06602112676056336,0.015404929577464786,0.0004401408450704227,0.0004401408450704227,0.0004401408450704227,0.0008802816901408448,0.08846830985915492,0.0008802816901408448,0.043133802816901406,0.00528169014084507,0.0004401408450704227,0.00836267605633803,0.0004401408450704227,0.00880281690140845,0.010563380281690142,0.0004401408450704227,0.0004401408450704227,0.006602112676056338,0.026408450704225355,0.032570422535211266,0.0035211267605633795,0.004841549295774646,0.002200704225352112,0.05017605633802818,0.0004401408450704227,0.10695422535211264,0.016725352112676062,0.0017605633802816895,0.0030809859154929567,0.0955105633802817,0.10651408450704224,0.03213028169014084,0.057218309859154944,0.0013204225352112674,0.0004401408450704227,0.0013204225352112674,0.0004401408450704227,0.0004401408450704227,0.002640845070422535,0.0004401408450704227,0.0013204225352112674,0.04093309859154929,0.034330985915492954
NN,0.0005703422053231938,0.24667300380228138,0.015019011406844099,0.12404942965779465,9.505703422053226e-05,9.505703422053226e-05,0.021577946768060838,0.0028517110266159697,0.00855513307984791,0.00019011406844106455,0.10684410646387835,0.015969581749049434,9.505703422053226e-05,0.0005703422053231938,9.505703422053226e-05,0.000665399239543726,0.015399239543726235,9.505703422053226e-05,0.001901140684410646,0.04001901140684411,0.040494296577946766,0.008365019011406842,0.004372623574144488,0.0814638783269962,0.002186311787072244,0.006844106463878329,9.505703422053226e-05,0.008840304182509504,0.001901140684410646,0.00855513307984791,0.007414448669201523,0.11292775665399236,0.00161596958174905,0.004277566539923955,0.048098859315589354,9.505703422053226e-05,9.505703422053226e-05,0.00161596958174905,0.0004752851711026614,9.505703422053226e-05,0.0025665399239543736,9.505703422053226e-05,0.005893536121673001,0.044961977186311786,0.005323193916349809
NNPS,0.004366812227074235,0.08296943231441048,0.00873362445414847,0.017467248908296942,0.004366812227074235,0.004366812227074235,0.026200873362445417,0.004366812227074235,0.004366812227074235,0.004366812227074235,0.07423580786026203,0.034934497816593885,0.004366812227074235,0.004366812227074235,0.004366812227074235,0.004366812227074235,0.034934497816593885,0.004366812227074235,0.00873362445414847,0.06550218340611355,0.00873362445414847,0.004366812227074235,0.004366812227074235,0.013100436681222707,0.004366812227074235,0.004366812227074235,0.004366812227074235,0.004366812227074235,0.004366812227074235,0.004366812227074235,0.27074235807860264,0.11790393013100439,0.004366812227074235,0.030567685589519646,0.043668122270742356,0.004366812227074235,0.004366812227074235,0.00873362445414847,0.004366812227074235,0.004366812227074235,0.00873362445414847,0.004366812227074235,0.004366812227074235,0.026200873362445417,0.004366812227074235
UH,0.02083333333333333,0.041666666666666664,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.041666666666666664,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.041666666666666664,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333
POS,0.0014347202295552364,0.004304160688665711,0.004304160688665711,0.3830703012912482,0.008608321377331422,0.0014347202295552364,0.0014347202295552364,0.002869440459110473,0.19512195121951223,0.02295552367288379,0.011477761836441894,0.0014347202295552364,0.0014347202295552364,0.008608321377331422,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.002869440459110473,0.005738880918220946,0.0014347202295552364,0.007173601147776183,0.0014347202295552364,0.11477761836441891,0.0014347202295552364,0.0014347202295552364,0.004304160688665711,0.015781922525107604,0.004304160688665711,0.0014347202295552364,0.12195121951219512,0.007173601147776183,0.0014347202295552364,0.0014347202295552364,0.010043041606886656,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.007173601147776183,0.0014347202295552364,0.002869440459110473,0.0014347202295552364,0.021520803443328556
WP,0.012765957446808515,0.017021276595744685,0.042553191489361694,0.017021276595744685,0.00425531914893617,0.00425531914893617,0.00851063829787234,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.042553191489361694,0.00851063829787234,0.00425531914893617,0.00425531914893617,0.00851063829787234,0.00425531914893617,0.0595744680851064,0.00851063829787234,0.00425531914893617,0.034042553191489355,0.00851063829787234,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.021276595744680854,0.00851063829787234,0.00425531914893617,0.17872340425531918,0.19574468085106386,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.2042553191489362,0.00851063829787234
JJ,0.000425894378194208,0.06047700170357752,0.0029812606473594537,0.44122657580919933,0.0012776831345826232,0.00021294718909710379,0.00021294718909710379,0.000425894378194208,0.06452299829642248,0.0006388415672913116,0.023424190800681435,0.0031942078364565582,0.00021294718909710379,0.002342419080068144,0.00021294718909710379,0.0006388415672913116,0.000425894378194208,0.00021294718909710379,0.000425894378194208,0.015971039182282792,0.02448892674616695,0.004258943781942077,0.0019165247018739355,0.24254684838160137,0.0010647359454855191,0.004897785349233391,0.00021294718909710379,0.003620102214650768,0.0008517887563884154,0.00021294718909710379,0.03620102214650767,0.028960817717206138,0.00021294718909710379,0.0010647359454855191,0.0010647359454855191,0.00021294718909710379,0.00021294718909710379,0.0006388415672913116,0.00021294718909710379,0.00021294718909710379,0.002342419080068144,0.00021294718909710379,0.003833049403747871,0.0014906303236797282,0.019591141396933562
