,PRP$,IN,RB,NN,NNPS,UH,POS,WP,JJ,JJS,.,:,SYM,$,LS,RBR,MD,PDT,-RRB-,CC,TO,VBG,PRP,NNS,WRB,DT,RBS,VBN,JJR,WDT,NNP,",",VB,VBP,VBD,EX,#,-LRB-,RP,WP$,``,FW,'',VBZ,CD
START,0.007556675062972292,0.1272040302267003,0.04565491183879094,0.04408060453400503,0.00251889168765743,0.0006297229219143579,0.00031486146095717867,0.0037783375314861456,0.03369017632241813,0.0018891687657430728,0.00031486146095717867,0.00251889168765743,0.00031486146095717867,0.001574307304785895,0.0018891687657430728,0.001259445843828715,0.0006297229219143579,0.001259445843828715,0.00031486146095717867,0.05226700251889168,0.0037783375314861456,0.011649874055415614,0.06139798488664987,0.047858942065491177,0.006926952141057932,0.2298488664987406,0.0009445843828715363,0.007871536523929468,0.0034634760705289686,0.0009445843828715363,0.19395465994962216,0.00031486146095717867,0.0031486146095717872,0.0006297229219143579,0.0009445843828715363,0.0050377833753148605,0.00031486146095717867,0.002204030226700253,0.00031486146095717867,0.00031486146095717867,0.07619647355163729,0.00031486146095717867,0.0006297229219143579,0.00251889168765743,0.008816120906801006
PRP$,0.0015151515151515154,0.003030303030303031,0.0015151515151515154,0.40454545454545454,0.003030303030303031,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.21666666666666667,0.012121212121212126,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.015151515151515157,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.007575757575757578,0.0015151515151515154,0.19545454545454544,0.0015151515151515154,0.0015151515151515154,0.003030303030303031,0.007575757575757578,0.0045454545454545435,0.0015151515151515154,0.05151515151515151,0.003030303030303031,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.0015151515151515154,0.003030303030303031,0.0015151515151515154,0.0015151515151515154,0.003030303030303031,0.0015151515151515154,0.0015151515151515154,0.003030303030303031,0.02121212121212121
IN,0.0349509680663817,0.016972592406336435,0.012069399044505904,0.10988182046768923,0.0021372894141312546,0.0001257229067136033,0.0001257229067136033,0.0020115665074176515,0.09429218003520243,0.004023133014835304,0.0028916268544128734,0.0001257229067136033,0.0001257229067136033,0.027407593663565502,0.0001257229067136033,0.0010057832537088258,0.0002514458134272066,0.0010057832537088258,0.0001257229067136033,0.0007543374402816194,0.002640181040985668,0.030299220517978377,0.03180789539854161,0.0632386220769424,0.0013829519738496351,0.3182046768921297,0.0001257229067136033,0.0062861453356801615,0.006411868242393765,0.0035202413879808904,0.1472215237616294,0.0032687955745536847,0.0005028916268544129,0.0002514458134272066,0.0011315061604224295,0.0011315061604224295,0.0011315061604224295,0.0001257229067136033,0.0002514458134272066,0.0002514458134272066,0.006914759869248177,0.0002514458134272066,0.00037716872014080966,0.0005028916268544129,0.06235856172994721
RB,0.0017459624618070704,0.12003491924923612,0.07376691401134874,0.013967699694456567,0.0008729812309035351,0.00043649061545176794,0.00043649061545176794,0.0017459624618070704,0.09297250109122653,0.0008729812309035351,0.047140986468790926,0.005237887385421213,0.00043649061545176794,0.007856831078131822,0.00043649061545176794,0.007420340462680056,0.010475774770842427,0.0008729812309035351,0.00043649061545176794,0.007420340462680056,0.02357049323439546,0.03360977738978613,0.0048013967699694435,0.005237887385421213,0.001309471846355303,0.05063291139240507,0.00043649061545176794,0.09951986032300307,0.015713662156263644,0.00218245307725884,0.004364906154517676,0.0877346137058053,0.09995635093845484,0.03055434308162374,0.0663465735486687,0.001309471846355303,0.00043649061545176794,0.0008729812309035351,0.00043649061545176794,0.00043649061545176794,0.00218245307725884,0.00043649061545176794,0.00218245307725884,0.03797468354430379,0.03317328677433435
NN,0.0005683432793407219,0.24808184143222506,0.015629440181869857,0.12475134981528842,9.472387989012037e-05,9.472387989012037e-05,0.02083925357582646,0.002652268636923369,0.008619873070000951,0.00018944775978024076,0.10211234252154967,0.015439992422089608,9.472387989012037e-05,0.0005683432793407219,9.472387989012037e-05,0.0008525149190110824,0.015629440181869857,9.472387989012037e-05,0.001799753717912285,0.03912096239461969,0.038363171355498715,0.008051529790660227,0.004262574595055413,0.08525149190110827,0.0023680969972530077,0.0069148432319787794,9.472387989012037e-05,0.008430425310220703,0.0023680969972530077,0.008146253670550349,0.00795680591077011,0.11130055887089135,0.001799753717912285,0.004546746234725773,0.04868807426352183,0.00018944775978024076,9.472387989012037e-05,0.0015155820782419252,0.0005683432793407219,0.00018944775978024076,0.0027469925168134898,0.00018944775978024076,0.0057781566732973385,0.04650942502604907,0.006346499952638057
NNPS,0.004219409282700421,0.06751054852320676,0.012658227848101266,0.021097046413502105,0.012658227848101266,0.004219409282700421,0.04219409282700422,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.07172995780590716,0.05063291139240507,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.02953586497890295,0.004219409282700421,0.008438818565400841,0.07172995780590716,0.008438818565400841,0.004219409282700421,0.004219409282700421,0.012658227848101266,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.270042194092827,0.10548523206751054,0.004219409282700421,0.03797468354430379,0.02953586497890295,0.004219409282700421,0.004219409282700421,0.008438818565400841,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.004219409282700421,0.025316455696202535,0.004219409282700421
UH,0.021276595744680854,0.042553191489361694,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.042553191489361694,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854
POS,0.0014347202295552364,0.004304160688665711,0.004304160688665711,0.38450502152080346,0.005738880918220946,0.0014347202295552364,0.0014347202295552364,0.002869440459110473,0.17790530846484934,0.021520803443328556,0.008608321377331422,0.0014347202295552364,0.0014347202295552364,0.004304160688665711,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.002869440459110473,0.007173601147776183,0.0014347202295552364,0.008608321377331422,0.0014347202295552364,0.13486370157819227,0.0014347202295552364,0.0014347202295552364,0.002869440459110473,0.008608321377331422,0.004304160688665711,0.0014347202295552364,0.13199426111908177,0.007173601147776183,0.0014347202295552364,0.0014347202295552364,0.007173601147776183,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.0014347202295552364,0.008608321377331422,0.0014347202295552364,0.002869440459110473,0.004304160688665711,0.02295552367288379
WP,0.01680672268907563,0.01680672268907563,0.0504201680672269,0.01680672268907563,0.0042016806722689065,0.0042016806722689065,0.008403361344537813,0.0042016806722689065,0.008403361344537813,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0504201680672269,0.008403361344537813,0.0042016806722689065,0.0042016806722689065,0.008403361344537813,0.0042016806722689065,0.02941176470588235,0.012605042016806723,0.0042016806722689065,0.037815126050420166,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.021008403361344543,0.0042016806722689065,0.0042016806722689065,0.1722689075630252,0.18487394957983194,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.23529411764705885,0.0042016806722689065
JJ,0.00042918454935622326,0.0575107296137339,0.003433476394849784,0.44699570815450645,0.0010729613733905582,0.0002145922746781116,0.0002145922746781116,0.00042918454935622326,0.062017167381974235,0.000643776824034335,0.021459227467811162,0.0032188841201716725,0.0002145922746781116,0.0017167381974248933,0.0002145922746781116,0.000643776824034335,0.00042918454935622326,0.0002145922746781116,0.00042918454935622326,0.01630901287553648,0.025321888412017168,0.004935622317596567,0.0017167381974248933,0.24527896995708154,0.0012875536480686691,0.0036480686695278975,0.0002145922746781116,0.003433476394849784,0.0008583690987124466,0.0002145922746781116,0.0296137339055794,0.030686695278969965,0.0002145922746781116,0.0012875536480686691,0.0008583690987124466,0.0002145922746781116,0.0002145922746781116,0.000643776824034335,0.00042918454935622326,0.0002145922746781116,0.0021459227467811167,0.0002145922746781116,0.004721030042918456,0.0017167381974248933,0.022103004291845498
